branch_name,branch_address,latitude,longitude
SHB Chi nhánh Đà Nẵng,"Số 178 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",20.647345,103.819508
SHB Chi nhánh Bắc Ninh,"Số 28 Lý Thái Tổ, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",9.986739,106.904356
SHB Chi nhánh Bắc Ninh,"Số 28 Lý Thái Tổ, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",14.373335,106.004913
SHB Chi nhánh TP Hồ Chí Minh,"Số 41-43-45 Pasteur, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",21.747602,103.145098
SHB Chi nhánh Đồng Nai,"Số 222 Phạm Văn Thuận, Phường Tân Tiến, TP Biên Hòa, Đồng Nai",19.206158,104.545205
SHB Chi nhánh Thăng Long,"Số 91 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",17.638546,102.6708
SHB Chi nhánh Bình Dương,"Số 481 Đại lộ Bình Dương, Phường Phú Cường, TP Thủ Dầu Một, Bình Dương",14.752625,103.090877
SHB Chi nhánh Huế,"Số 5 Hùng Vương, Phường Phú Hội, TP Huế",11.380803,108.080081
SHB Chi nhánh Hà Nội,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",11.854623,102.363652
SHB Chi nhánh Nghệ An,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",19.004829,104.379865
SHB Chi nhánh Đà Nẵng,"Số 178 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",9.600915,109.016167
SHB Chi nhánh Hà Nội,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",9.36667,103.690377
SHB Chi nhánh Nghệ An,"Số 12 Lê Nin, Phường Hà Huy Tập, TP Vinh, Nghệ An",12.941662,106.111173
SHB Chi nhánh Khánh Hòa,"Số 88 Trần Phú, Phường Lộc Thọ, TP Nha Trang, Khánh Hòa",17.349433,107.093587
SHB Chi nhánh Cần Thơ,"Số 26-28 Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ",9.123915,104.672926
SHB Chi nhánh Đà Nẵng,"Số 178 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",22.155549,104.986694
SHB Chi nhánh Khánh Hòa,"Số 88 Trần Phú, Phường Lộc Thọ, TP Nha Trang, Khánh Hòa",21.480106,107.069379
SHB Chi nhánh Thanh Hóa,"Số 21 Đại lộ Lê Lợi, Phường Lam Sơn, TP Thanh Hóa",14.241311,103.605397
SHB Chi nhánh Hà Nội,"Số 77 Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",19.751447,105.191373
